Keyword,frequency,category_ids
games,30,"[20, 28, 22, 1, 17, 23, 24]"
tom,30,"[26, 1, 24, 10, 20, 22]"
security,30,"[20, 25, 24]"
eilish,30,"[10, 24]"
impact,30,"[20, 28, 27]"
youtube,29,"[10, 27, 24, 22, 20, 1]"
grupo,29,[10]
ones,29,"[24, 26]"
know,29,"[1, 10, 20, 24, 22, 27, 25]"
jay,29,"[10, 24, 25]"
war,29,"[25, 20, 24, 27, 23, 10, 1]"
future,28,"[10, 20, 22, 19, 27, 1, 24, 28]"
ozuna,28,[10]
launch,28,"[20, 28, 17]"
good,28,"[24, 10, 23, 20, 22, 1, 28]"
drake,28,"[10, 24, 2, 17]"
taylor,28,"[10, 24, 26, 22, 23]"
spent,28,"[24, 27, 20, 22]"
breach,28,"[20, 24]"
version,28,"[10, 1, 20, 24, 22, 23]"
next,28,"[10, 24, 2, 22, 20, 1, 23, 15]"
actually,28,"[20, 22, 24, 27, 1, 28]"
scenes,28,"[24, 22, 17, 10, 20, 1]"
satisfying,28,"[22, 24, 23, 26, 20, 28]"
visualizer,28,[10]
rauw,28,[10]
ver,28,"[10, 17, 24, 20, 22]"
prime,28,"[1, 24]"
golden,28,"[24, 10, 20, 22, 17]"
nas,28,"[10, 20, 24, 17]"
found,27,"[22, 28, 20, 27, 24, 1, 25, 23]"
funny,27,"[24, 22, 20, 15, 23]"
gets,27,"[28, 25, 20, 10, 24, 26, 17, 22, 2, 23]"
bought,27,"[24, 22, 2, 27, 20, 28, 23]"
cole,27,"[10, 24]"
mystery,27,"[24, 22, 25, 27, 20, 1, 26]"
nct,27,"[10, 24]"
really,27,"[24, 17, 20, 22, 27, 10, 28, 23, 26, 1]"
genshin,27,[20]
tour,27,"[10, 17, 24, 28, 20, 22, 23]"
dixie,27,"[24, 22, 10, 17]"
reacts,27,"[24, 27, 1, 17, 22, 23, 25]"
james,27,"[24, 22, 10, 28, 20, 17]"
polo,27,"[10, 24]"
pov,27,"[22, 10, 24, 1]"
turn,27,"[24, 20, 10, 22]"
rock,26,"[25, 10, 24, 23, 27, 22, 1, 17]"
stop,26,"[10, 24, 17, 25, 27, 20, 26, 23, 15]"
mrbeast,26,"[20, 24, 22, 28, 26, 27]"
wings,26,"[24, 26, 10]"
kid,26,"[10, 24, 20, 23, 1]"
en,26,"[10, 24, 22, 17]"
face,26,"[24, 10, 20, 17, 27, 22, 26]"
original,26,"[24, 10, 1]"
swift,26,"[10, 26, 23]"
event,26,"[28, 17, 20, 24, 2]"
prank,26,"[23, 24, 22, 17, 26, 1]"
water,26,"[24, 27, 22, 20, 10, 23, 28, 1]"
cold,26,"[24, 10, 20, 2, 23]"
u,26,"[10, 23, 24]"
years,25,"[24, 15, 17, 26, 25, 20, 28, 10, 22, 27, 2]"
challenges,25,"[24, 20, 22, 17, 23]"
try,25,"[24, 20, 22, 23, 10, 1, 25]"
car,25,"[28, 24, 20, 17, 22, 2, 10]"
behind,25,"[24, 22, 28, 17, 10, 15, 25, 1, 27]"
galaxy,25,"[28, 24, 22, 20]"
broke,25,"[24, 23, 10, 22, 20, 1, 26, 2]"
boy,25,"[10, 24, 22, 20, 23, 1]"
ksi,25,"[10, 20, 24, 17]"
kim,25,"[10, 20, 22, 24, 23]"
playtime,25,"[24, 22, 20, 1]"
school,25,"[24, 1, 20, 22, 23, 25, 26, 17]"
interview,25,"[24, 17, 25, 23, 10]"
stage,24,"[25, 22, 24, 10, 23]"
short,24,"[10, 24, 23, 20, 1, 22, 17, 26]"
art,24,"[24, 23, 26, 22]"
crazy,24,"[1, 24, 22, 10, 2, 17, 27]"
announcement,24,"[24, 10, 20, 1, 23, 22, 28]"
megan,24,"[10, 24]"
girls,24,"[10, 24, 20]"
balvin,24,[10]
itzy,24,"[10, 24]"
largest,24,"[24, 20, 28, 22, 27, 17]"
brown,24,"[24, 10, 2, 23]"
spicy,24,"[24, 26, 10]"
west,24,"[17, 10, 20, 1, 22, 23]"
vogue,24,"[24, 22, 26]"
ultimate,24,"[20, 1, 2, 17, 28, 27, 24]"
minutes,24,"[24, 25, 20, 17, 28]"
call,24,"[10, 20, 24, 22, 23, 25]"
different,24,"[20, 22, 10, 24, 28, 23]"
goes,23,"[10, 17, 20, 2, 24, 22]"
jefe,23,[10]
dragon,23,"[1, 20, 23, 22, 24]"
end,23,"[17, 24, 10, 26, 20, 25, 23, 28, 27, 22]"
girlfriend,23,"[23, 15, 24, 20, 22, 25]"
stallion,23,[10]
beat,23,"[10, 22, 1, 24, 20, 17]"
craft,23,"[20, 23, 24]"
thee,23,[10]
joe,23,"[25, 17, 22, 10, 1, 24, 23]"
cinematic,23,"[20, 24, 22]"
방송,23,"[20, 24, 10]"
making,23,"[10, 23, 20, 24, 28, 22, 26]"
death,23,"[1, 20, 24, 25, 27, 10, 17, 22]"
friend,23,"[22, 20, 28, 23, 24, 10, 25, 26]"
may,23,"[24, 17, 20]"
daddy,23,"[10, 20]"
power,22,"[10, 17, 1, 20, 24, 25, 28]"
charli,22,"[24, 22, 20]"
paul,22,"[17, 22, 24, 10, 20]"
room,22,"[24, 10, 20, 17, 28, 22, 23]"
jack,22,"[10, 24, 1, 23]"
sports,22,"[17, 24, 1]"
young,22,"[10, 23, 22]"
paramount,22,"[1, 24]"
pokémon,22,"[20, 10, 24]"
custom,22,"[20, 24, 27, 22]"
ufc,22,"[17, 24]"
pop,22,"[10, 23, 24, 20, 22]"
fnf,22,"[1, 20, 22, 24]"
wheeler,21,[10]
met,21,"[20, 24, 26, 22, 23, 27]"
believe,21,"[22, 10, 26, 24, 28, 20, 27]"
samsung,21,"[28, 26]"
better,21,"[17, 22, 10, 28, 24, 23, 20]"
maluma,21,"[10, 17]"
practice,21,"[10, 24, 22, 23]"
yo,21,[10]
magic,21,"[20, 24, 23, 17, 1]"
loaiza,21,"[10, 22, 24]"
built,21,"[24, 22, 20, 27, 15, 2, 1]"
england,21,"[17, 24, 20]"
guys,21,"[20, 27, 24, 22, 23, 17]"
toks,21,[24]
liverpool,21,"[17, 24]"
poppy,21,"[24, 22, 20, 1]"
b,20,"[10, 24, 17]"
manchester,20,[17]
fight,20,"[10, 17, 20, 24, 22]"
karol,20,[10]
hide,20,"[24, 20, 22, 28]"
ps5,20,"[20, 24, 28]"
round,20,"[17, 10, 24, 25]"
unboxing,20,"[28, 20, 22]"
l,20,"[28, 22, 1, 10, 24, 25]"
ii,20,"[20, 24, 1, 25, 27]"
take,20,"[24, 17, 10, 20, 27]"
internet,20,"[28, 24, 10, 23, 1]"
prince,20,"[10, 24, 25, 22]"
w,20,"[10, 20, 22, 24, 23]"
skin,20,"[20, 10, 26]"
wild,20,"[10, 15, 20, 28, 17]"
olivia,20,"[10, 24, 26]"
come,20,"[10, 17, 1, 24, 22, 25, 2, 26, 20]"
gun,20,"[1, 24, 10, 15]"
trying,20,"[24, 17, 22, 28, 23]"
lost,20,"[10, 1, 25, 24, 27, 20, 22, 15]"
엔시티,20,"[10, 24]"
bbc,20,"[25, 24]"
wave,19,"[10, 24]"
son,19,"[22, 28, 15, 23, 24, 20, 17, 10]"
selena,19,"[10, 26, 22, 24]"
ive,19,"[10, 28, 20, 1, 24, 22, 26]"
jimmy,19,"[22, 23, 10, 29]"
dababy,19,"[10, 24, 22, 17]"
trick,19,"[24, 17, 22, 20]"
stranger,19,"[24, 23]"
makes,19,"[24, 27, 10, 22, 1, 20, 17, 19]"
firme,19,[10]
nintendo,19,"[20, 24, 1]"
name,19,"[10, 22, 24, 25, 23]"
october,19,"[28, 24, 17]"
